,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Year,Lineup,GameID,QuarterID,PointID,PossessionID
0,2014-04-12 19:57,San Francisco FlameThrowers,43,O,1,0,Offense,Catch,Ashlin Joye,Beau Kittredge,,,Ashlin Joye,Kurt Gibson,Mark Elbogen,Eli Kerns,Sonny Zaccaro,Kevin Smith,Beau Kittredge,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,San Jose Spiders,2014,"Ashlin Joye, Beau Kittredge, Eli Kerns, Kevin Smith, Kurt Gibson, Mark Elbogen, Sonny Zaccaro",1,1,1,1.0
1,2014-04-12 19:57,San Francisco FlameThrowers,43,O,1,0,Offense,Catch,Beau Kittredge,Sonny Zaccaro,,,Ashlin Joye,Kurt Gibson,Mark Elbogen,Eli Kerns,Sonny Zaccaro,Kevin Smith,Beau Kittredge,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,San Jose Spiders,2014,"Ashlin Joye, Beau Kittredge, Eli Kerns, Kevin Smith, Kurt Gibson, Mark Elbogen, Sonny Zaccaro",1,1,1,1.0
2,2014-04-12 19:57,San Francisco FlameThrowers,43,O,1,0,Offense,Catch,Sonny Zaccaro,Beau Kittredge,,,Ashlin Joye,Kurt Gibson,Mark Elbogen,Eli Kerns,Sonny Zaccaro,Kevin Smith,Beau Kittredge,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,San Jose Spiders,2014,"Ashlin Joye, Beau Kittredge, Eli Kerns, Kevin Smith, Kurt Gibson, Mark Elbogen, Sonny Zaccaro",1,1,1,1.0
3,2014-04-12 19:57,San Francisco FlameThrowers,43,O,1,0,Offense,Catch,Beau Kittredge,Kurt Gibson,,,Ashlin Joye,Kurt Gibson,Mark Elbogen,Eli Kerns,Sonny Zaccaro,Kevin Smith,Beau Kittredge,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,San Jose Spiders,2014,"Ashlin Joye, Beau Kittredge, Eli Kerns, Kevin Smith, Kurt Gibson, Mark Elbogen, Sonny Zaccaro",1,1,1,1.0
4,2014-04-12 19:57,San Francisco FlameThrowers,43,O,1,0,Offense,Catch,Kurt Gibson,Ashlin Joye,,,Ashlin Joye,Kurt Gibson,Mark Elbogen,Eli Kerns,Sonny Zaccaro,Kevin Smith,Beau Kittredge,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,San Jose Spiders,2014,"Ashlin Joye, Beau Kittredge, Eli Kerns, Kevin Smith, Kurt Gibson, Mark Elbogen, Sonny Zaccaro",1,1,1,1.0
5,2014-04-12 19:57,San Francisco FlameThrowers,43,O,1,0,Offense,Catch,Ashlin Joye,Mark Elbogen,,,Ashlin Joye,Kurt Gibson,Mark Elbogen,Eli Kerns,Sonny Zaccaro,Kevin Smith,Beau Kittredge,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,San Jose Spiders,2014,"Ashlin Joye, Beau Kittredge, Eli Kerns, Kevin Smith, Kurt Gibson, Mark Elbogen, Sonny Zaccaro",1,1,1,1.0
6,2014-04-12 19:57,San Francisco FlameThrowers,43,O,1,0,Offense,Catch,Mark Elbogen,Ashlin Joye,,,Ashlin Joye,Kurt Gibson,Mark Elbogen,Eli Kerns,Sonny Zaccaro,Kevin Smith,Beau Kittredge,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,San Jose Spiders,2014,"Ashlin Joye, Beau Kittredge, Eli Kerns, Kevin Smith, Kurt Gibson, Mark Elbogen, Sonny Zaccaro",1,1,1,1.0
7,2014-04-12 19:57,San Francisco FlameThrowers,43,O,1,0,Offense,Catch,Ashlin Joye,Eli Kerns,,,Ashlin Joye,Kurt Gibson,Mark Elbogen,Eli Kerns,Sonny Zaccaro,Kevin Smith,Beau Kittredge,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,San Jose Spiders,2014,"Ashlin Joye, Beau Kittredge, Eli Kerns, Kevin Smith, Kurt Gibson, Mark Elbogen, Sonny Zaccaro",1,1,1,1.0
8,2014-04-12 19:57,San Francisco FlameThrowers,43,O,1,0,Offense,Catch,Eli Kerns,Ashlin Joye,,,Ashlin Joye,Kurt Gibson,Mark Elbogen,Eli Kerns,Sonny Zaccaro,Kevin Smith,Beau Kittredge,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,San Jose Spiders,2014,"Ashlin Joye, Beau Kittredge, Eli Kerns, Kevin Smith, Kurt Gibson, Mark Elbogen, Sonny Zaccaro",1,1,1,1.0
9,2014-04-12 19:57,San Francisco FlameThrowers,43,O,1,0,Offense,Goal,Ashlin Joye,Beau Kittredge,,,Ashlin Joye,Kurt Gibson,Mark Elbogen,Eli Kerns,Sonny Zaccaro,Kevin Smith,Beau Kittredge,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,San Jose Spiders,2014,"Ashlin Joye, Beau Kittredge, Eli Kerns, Kevin Smith, Kurt Gibson, Mark Elbogen, Sonny Zaccaro",1,1,1,1.0
10,2014-04-12 19:57,San Francisco FlameThrowers,38,D,1,1,Defense,Pull,,,Tim Gilligan,,Steven Chang,Kris Thomson,Simon Higgins,Jeffrey Silverman,Greg Cohen,Tim Gilligan,Michael Kiyoi,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,,,,San Jose Spiders,2014,"Greg Cohen, Jeffrey Silverman, Kris Thomson, Michael Kiyoi, Simon Higgins, Steven Chang, Tim Gilligan",1,1,2,1.0
11,2014-04-12 19:57,San Francisco FlameThrowers,38,D,1,1,Defense,Goal,,,Anonymous,,Steven Chang,Kris Thomson,Simon Higgins,Jeffrey Silverman,Greg Cohen,Tim Gilligan,Michael Kiyoi,,,,,,,,,,,,,,,,,,,,,,141,,,,,,,,,,,San Jose Spiders,2014,"Greg Cohen, Jeffrey Silverman, Kris Thomson, Michael Kiyoi, Simon Higgins, Steven Chang, Tim Gilligan",1,1,2,1.0
12,2014-04-12 19:57,San Francisco FlameThrowers,206,O,2,1,Offense,Catch,Kevin Smith,Ashlin Joye,,,Tyler Bacon,Ashlin Joye,Kurt Gibson,Mark Elbogen,Kevin Smith,Marcelo Sanchez,Beau Kittredge,,,,,,,,,,,,,,,,,,,,,,199,,,,,,,,,,,San Jose Spiders,2014,"Ashlin Joye, Beau Kittredge, Kevin Smith, Kurt Gibson, Marcelo Sanchez, Mark Elbogen, Tyler Bacon",1,1,3,1.0
13,2014-04-12 19:57,San Francisco FlameThrowers,206,O,2,1,Offense,Catch,Ashlin Joye,Mark Elbogen,,,Tyler Bacon,Ashlin Joye,Kurt Gibson,Mark Elbogen,Kevin Smith,Marcelo Sanchez,Beau Kittredge,,,,,,,,,,,,,,,,,,,,,,207,,,,,,,,,,,San Jose Spiders,2014,"Ashlin Joye, Beau Kittredge, Kevin Smith, Kurt Gibson, Marcelo Sanchez, Mark Elbogen, Tyler Bacon",1,1,3,1.0
14,2014-04-12 19:57,San Francisco FlameThrowers,206,O,2,1,Offense,Catch,Mark Elbogen,Kurt Gibson,,,Tyler Bacon,Ashlin Joye,Kurt Gibson,Mark Elbogen,Kevin Smith,Marcelo Sanchez,Beau Kittredge,,,,,,,,,,,,,,,,,,,,,,211,,,,,,,,,,,San Jose Spiders,2014,"Ashlin Joye, Beau Kittredge, Kevin Smith, Kurt Gibson, Marcelo Sanchez, Mark Elbogen, Tyler Bacon",1,1,3,1.0
15,2014-04-12 19:57,San Francisco FlameThrowers,206,O,2,1,Offense,Catch,Kurt Gibson,Marcelo Sanchez,,,Tyler Bacon,Ashlin Joye,Kurt Gibson,Mark Elbogen,Kevin Smith,Marcelo Sanchez,Beau Kittredge,,,,,,,,,,,,,,,,,,,,,,215,,,,,,,,,,,San Jose Spiders,2014,"Ashlin Joye, Beau Kittredge, Kevin Smith, Kurt Gibson, Marcelo Sanchez, Mark Elbogen, Tyler Bacon",1,1,3,1.0
16,2014-04-12 19:57,San Francisco FlameThrowers,206,O,2,1,Offense,Catch,Marcelo Sanchez,Kevin Smith,,,Tyler Bacon,Ashlin Joye,Kurt Gibson,Mark Elbogen,Kevin Smith,Marcelo Sanchez,Beau Kittredge,,,,,,,,,,,,,,,,,,,,,,219,,,,,,,,,,,San Jose Spiders,2014,"Ashlin Joye, Beau Kittredge, Kevin Smith, Kurt Gibson, Marcelo Sanchez, Mark Elbogen, Tyler Bacon",1,1,3,1.0
17,2014-04-12 19:57,San Francisco FlameThrowers,206,O,2,1,Offense,Catch,Kevin Smith,Kurt Gibson,,,Tyler Bacon,Ashlin Joye,Kurt Gibson,Mark Elbogen,Kevin Smith,Marcelo Sanchez,Beau Kittredge,,,,,,,,,,,,,,,,,,,,,,223,,,,,,,,,,,San Jose Spiders,2014,"Ashlin Joye, Beau Kittredge, Kevin Smith, Kurt Gibson, Marcelo Sanchez, Mark Elbogen, Tyler Bacon",1,1,3,1.0
18,2014-04-12 19:57,San Francisco FlameThrowers,206,O,2,1,Offense,Catch,Kurt Gibson,Ashlin Joye,,,Tyler Bacon,Ashlin Joye,Kurt Gibson,Mark Elbogen,Kevin Smith,Marcelo Sanchez,Beau Kittredge,,,,,,,,,,,,,,,,,,,,,,227,,,,,,,,,,,San Jose Spiders,2014,"Ashlin Joye, Beau Kittredge, Kevin Smith, Kurt Gibson, Marcelo Sanchez, Mark Elbogen, Tyler Bacon",1,1,3,1.0
19,2014-04-12 19:57,San Francisco FlameThrowers,206,O,2,1,Offense,Throwaway,Ashlin Joye,Anonymous,,,Tyler Bacon,Ashlin Joye,Kurt Gibson,Mark Elbogen,Kevin Smith,Marcelo Sanchez,Beau Kittredge,,,,,,,,,,,,,,,,,,,,,,231,,,,,,,,,,,San Jose Spiders,2014,"Ashlin Joye, Beau Kittredge, Kevin Smith, Kurt Gibson, Marcelo Sanchez, Mark Elbogen, Tyler Bacon",1,1,3,1.0
20,2014-04-12 19:57,San Francisco FlameThrowers,206,O,2,1,Defense,D,,,Kurt Gibson,,Tyler Bacon,Ashlin Joye,Kurt Gibson,Mark Elbogen,Kevin Smith,Marcelo Sanchez,Beau Kittredge,,,,,,,,,,,,,,,,,,,,,,242,,,,,,,,,,,San Jose Spiders,2014,"Ashlin Joye, Beau Kittredge, Kevin Smith, Kurt Gibson, Marcelo Sanchez, Mark Elbogen, Tyler Bacon",1,1,3,2.0
21,2014-04-12 19:57,San Francisco FlameThrowers,206,O,2,1,Offense,Catch,Beau Kittredge,Kurt Gibson,,,Tyler Bacon,Ashlin Joye,Kurt Gibson,Mark Elbogen,Kevin Smith,Marcelo Sanchez,Beau Kittredge,,,,,,,,,,,,,,,,,,,,,,245,,,,,,,,,,,San Jose Spiders,2014,"Ashlin Joye, Beau Kittredge, Kevin Smith, Kurt Gibson, Marcelo Sanchez, Mark Elbogen, Tyler Bacon",1,1,3,3.0
22,2014-04-12 19:57,San Francisco FlameThrowers,206,O,2,1,Offense,Catch,Kurt Gibson,Ashlin Joye,,,Tyler Bacon,Ashlin Joye,Kurt Gibson,Mark Elbogen,Kevin Smith,Marcelo Sanchez,Beau Kittredge,,,,,,,,,,,,,,,,,,,,,,249,,,,,,,,,,,San Jose Spiders,2014,"Ashlin Joye, Beau Kittredge, Kevin Smith, Kurt Gibson, Marcelo Sanchez, Mark Elbogen, Tyler Bacon",1,1,3,3.0
23,2014-04-12 19:57,San Francisco FlameThrowers,206,O,2,1,Offense,Stall,Ashlin Joye,Anonymous,,,Tyler Bacon,Ashlin Joye,Kurt Gibson,Mark Elbogen,Kevin Smith,Marcelo Sanchez,Beau Kittredge,,,,,,,,,,,,,,,,,,,,,,266,,,,,,,,,,,San Jose Spiders,2014,"Ashlin Joye, Beau Kittredge, Kevin Smith, Kurt Gibson, Marcelo Sanchez, Mark Elbogen, Tyler Bacon",1,1,3,3.0
24,2014-04-12 19:57,San Francisco FlameThrowers,206,O,2,1,Defense,D,,,Kurt Gibson,,Tyler Bacon,Ashlin Joye,Kurt Gibson,Mark Elbogen,Kevin Smith,Marcelo Sanchez,Beau Kittredge,,,,,,,,,,,,,,,,,,,,,,291,,,,,,,,,,,San Jose Spiders,2014,"Ashlin Joye, Beau Kittredge, Kevin Smith, Kurt Gibson, Marcelo Sanchez, Mark Elbogen, Tyler Bacon",1,1,3,4.0
25,2014-04-12 19:57,San Francisco FlameThrowers,206,O,2,1,Offense,Catch,Kurt Gibson,Ashlin Joye,,,Tyler Bacon,Ashlin Joye,Kurt Gibson,Mark Elbogen,Kevin Smith,Marcelo Sanchez,Beau Kittredge,,,,,,,,,,,,,,,,,,,,,,305,,,,,,,,,,,San Jose Spiders,2014,"Ashlin Joye, Beau Kittredge, Kevin Smith, Kurt Gibson, Marcelo Sanchez, Mark Elbogen, Tyler Bacon",1,1,3,5.0
26,2014-04-12 19:57,San Francisco FlameThrowers,206,O,2,1,Offense,Catch,Ashlin Joye,Mark Elbogen,,,Tyler Bacon,Ashlin Joye,Kurt Gibson,Mark Elbogen,Kevin Smith,Marcelo Sanchez,Beau Kittredge,,,,,,,,,,,,,,,,,,,,,,309,,,,,,,,,,,San Jose Spiders,2014,"Ashlin Joye, Beau Kittredge, Kevin Smith, Kurt Gibson, Marcelo Sanchez, Mark Elbogen, Tyler Bacon",1,1,3,5.0
27,2014-04-12 19:57,San Francisco FlameThrowers,206,O,2,1,Offense,Throwaway,Mark Elbogen,Anonymous,,,Tyler Bacon,Ashlin Joye,Kurt Gibson,Mark Elbogen,Kevin Smith,Marcelo Sanchez,Beau Kittredge,,,,,,,,,,,,,,,,,,,,,,312,,,,,,,,,,,San Jose Spiders,2014,"Ashlin Joye, Beau Kittredge, Kevin Smith, Kurt Gibson, Marcelo Sanchez, Mark Elbogen, Tyler Bacon",1,1,3,5.0
28,2014-04-12 19:57,San Francisco FlameThrowers,206,O,2,1,Defense,Throwaway,,,Anonymous,,Tyler Bacon,Ashlin Joye,Kurt Gibson,Mark Elbogen,Kevin Smith,Marcelo Sanchez,Beau Kittredge,,,,,,,,,,,,,,,,,,,,,,373,,,,,,,,,,,San Jose Spiders,2014,"Ashlin Joye, Beau Kittredge, Kevin Smith, Kurt Gibson, Marcelo Sanchez, Mark Elbogen, Tyler Bacon",1,1,3,6.0
29,2014-04-12 19:57,San Francisco FlameThrowers,206,O,2,1,Offense,Catch,Ashlin Joye,Mark Elbogen,,,Tyler Bacon,Ashlin Joye,Kurt Gibson,Mark Elbogen,Kevin Smith,Marcelo Sanchez,Beau Kittredge,,,,,,,,,,,,,,,,,,,,,,385,,,,,,,,,,,San Jose Spiders,2014,"Ashlin Joye, Beau Kittredge, Kevin Smith, Kurt Gibson, Marcelo Sanchez, Mark Elbogen, Tyler Bacon",1,1,3,7.0
30,2014-04-12 19:57,San Francisco FlameThrowers,206,O,2,1,Offense,Catch,Mark Elbogen,Beau Kittredge,,,Tyler Bacon,Ashlin Joye,Kurt Gibson,Mark Elbogen,Kevin Smith,Marcelo Sanchez,Beau Kittredge,,,,,,,,,,,,,,,,,,,,,,388,,,,,,,,,,,San Jose Spiders,2014,"Ashlin Joye, Beau Kittredge, Kevin Smith, Kurt Gibson, Marcelo Sanchez, Mark Elbogen, Tyler Bacon",1,1,3,7.0
31,2014-04-12 19:57,San Francisco FlameThrowers,206,O,2,1,Offense,Catch,Beau Kittredge,Ashlin Joye,,,Tyler Bacon,Ashlin Joye,Kurt Gibson,Mark Elbogen,Kevin Smith,Marcelo Sanchez,Beau Kittredge,,,,,,,,,,,,,,,,,,,,,,393,,,,,,,,,,,San Jose Spiders,2014,"Ashlin Joye, Beau Kittredge, Kevin Smith, Kurt Gibson, Marcelo Sanchez, Mark Elbogen, Tyler Bacon",1,1,3,7.0
32,2014-04-12 19:57,San Francisco FlameThrowers,206,O,2,1,Offense,Catch,Ashlin Joye,Tyler Bacon,,,Tyler Bacon,Ashlin Joye,Kurt Gibson,Mark Elbogen,Kevin Smith,Marcelo Sanchez,Beau Kittredge,,,,,,,,,,,,,,,,,,,,,,396,,,,,,,,,,,San Jose Spiders,2014,"Ashlin Joye, Beau Kittredge, Kevin Smith, Kurt Gibson, Marcelo Sanchez, Mark Elbogen, Tyler Bacon",1,1,3,7.0
33,2014-04-12 19:57,San Francisco FlameThrowers,206,O,2,1,Offense,Goal,Tyler Bacon,Kevin Smith,,,Tyler Bacon,Ashlin Joye,Kurt Gibson,Mark Elbogen,Kevin Smith,Marcelo Sanchez,Beau Kittredge,,,,,,,,,,,,,,,,,,,,,,403,,,,,,,,,,,San Jose Spiders,2014,"Ashlin Joye, Beau Kittredge, Kevin Smith, Kurt Gibson, Marcelo Sanchez, Mark Elbogen, Tyler Bacon",1,1,3,7.0
34,2014-04-12 19:57,San Francisco FlameThrowers,87,D,3,1,Defense,Pull,,,Simon Higgins,7.197,Matthew Natali,Sonny Zaccaro,Simon Higgins,Nathan White,Brett Petersen,Greg Cohen,Michael Kiyoi,,,,,,,,,,,,,,,,,,,,,,465,,,,,,,,,,,San Jose Spiders,2014,"Brett Petersen, Greg Cohen, Matthew Natali, Michael Kiyoi, Nathan White, Simon Higgins, Sonny Zaccaro",1,1,4,1.0
35,2014-04-12 19:57,San Francisco FlameThrowers,87,D,3,1,Defense,D,,,Michael Kiyoi,,Matthew Natali,Sonny Zaccaro,Simon Higgins,Nathan White,Brett Petersen,Greg Cohen,Michael Kiyoi,,,,,,,,,,,,,,,,,,,,,,524,,,,,,,,,,,San Jose Spiders,2014,"Brett Petersen, Greg Cohen, Matthew Natali, Michael Kiyoi, Nathan White, Simon Higgins, Sonny Zaccaro",1,1,4,1.0
36,2014-04-12 19:57,San Francisco FlameThrowers,87,D,3,1,Offense,Catch,Nathan White,Greg Cohen,,,Matthew Natali,Sonny Zaccaro,Simon Higgins,Nathan White,Brett Petersen,Greg Cohen,Michael Kiyoi,,,,,,,,,,,,,,,,,,,,,,533,,,,,,,,,,,San Jose Spiders,2014,"Brett Petersen, Greg Cohen, Matthew Natali, Michael Kiyoi, Nathan White, Simon Higgins, Sonny Zaccaro",1,1,4,2.0
37,2014-04-12 19:57,San Francisco FlameThrowers,87,D,3,1,Offense,Catch,Greg Cohen,Michael Kiyoi,,,Matthew Natali,Sonny Zaccaro,Simon Higgins,Nathan White,Brett Petersen,Greg Cohen,Michael Kiyoi,,,,,,,,,,,,,,,,,,,,,,537,,,,,,,,,,,San Jose Spiders,2014,"Brett Petersen, Greg Cohen, Matthew Natali, Michael Kiyoi, Nathan White, Simon Higgins, Sonny Zaccaro",1,1,4,2.0
38,2014-04-12 19:57,San Francisco FlameThrowers,87,D,3,1,Offense,Catch,Michael Kiyoi,Greg Cohen,,,Matthew Natali,Sonny Zaccaro,Simon Higgins,Nathan White,Brett Petersen,Greg Cohen,Michael Kiyoi,,,,,,,,,,,,,,,,,,,,,,541,,,,,,,,,,,San Jose Spiders,2014,"Brett Petersen, Greg Cohen, Matthew Natali, Michael Kiyoi, Nathan White, Simon Higgins, Sonny Zaccaro",1,1,4,2.0
39,2014-04-12 19:57,San Francisco FlameThrowers,87,D,3,1,Offense,Goal,Greg Cohen,Michael Kiyoi,,,Matthew Natali,Sonny Zaccaro,Simon Higgins,Nathan White,Brett Petersen,Greg Cohen,Michael Kiyoi,,,,,,,,,,,,,,,,,,,,,,550,,,,,,,,,,,San Jose Spiders,2014,"Brett Petersen, Greg Cohen, Matthew Natali, Michael Kiyoi, Nathan White, Simon Higgins, Sonny Zaccaro",1,1,4,2.0
40,2014-04-12 19:57,San Francisco FlameThrowers,51,D,3,2,Defense,Pull,,,Tim Gilligan,6.589,Ashlin Joye,Steven Chang,Kris Thomson,Simon Higgins,Nathan White,Jeffrey Silverman,Tim Gilligan,,,,,,,,,,,,,,,,,,,,,,612,,,,,,,,,,,San Jose Spiders,2014,"Ashlin Joye, Jeffrey Silverman, Kris Thomson, Nathan White, Simon Higgins, Steven Chang, Tim Gilligan",1,1,5,1.0
41,2014-04-12 19:57,San Francisco FlameThrowers,51,D,3,2,Defense,Goal,,,Anonymous,,Ashlin Joye,Steven Chang,Kris Thomson,Simon Higgins,Nathan White,Jeffrey Silverman,Tim Gilligan,,,,,,,,,,,,,,,,,,,,,,661,,,,,,,,,,,San Jose Spiders,2014,"Ashlin Joye, Jeffrey Silverman, Kris Thomson, Nathan White, Simon Higgins, Steven Chang, Tim Gilligan",1,1,5,1.0
42,2014-04-12 19:57,San Francisco FlameThrowers,26,O,4,2,Offense,Catch,Chris Farina,Ashlin Joye,,,Tyler Bacon,Ashlin Joye,Kurt Gibson,Eli Kerns,Chris Farina,Marcelo Sanchez,Beau Kittredge,,,,,,,,,,,,,,,,,,,,,,717,,,,,,,,,,,San Jose Spiders,2014,"Ashlin Joye, Beau Kittredge, Chris Farina, Eli Kerns, Kurt Gibson, Marcelo Sanchez, Tyler Bacon",1,1,6,1.0
43,2014-04-12 19:57,San Francisco FlameThrowers,26,O,4,2,Offense,Catch,Ashlin Joye,Tyler Bacon,,,Tyler Bacon,Ashlin Joye,Kurt Gibson,Eli Kerns,Chris Farina,Marcelo Sanchez,Beau Kittredge,,,,,,,,,,,,,,,,,,,,,,727,,,,,,,,,,,San Jose Spiders,2014,"Ashlin Joye, Beau Kittredge, Chris Farina, Eli Kerns, Kurt Gibson, Marcelo Sanchez, Tyler Bacon",1,1,6,1.0
44,2014-04-12 19:57,San Francisco FlameThrowers,26,O,4,2,Offense,Catch,Tyler Bacon,Beau Kittredge,,,Tyler Bacon,Ashlin Joye,Kurt Gibson,Eli Kerns,Chris Farina,Marcelo Sanchez,Beau Kittredge,,,,,,,,,,,,,,,,,,,,,,731,,,,,,,,,,,San Jose Spiders,2014,"Ashlin Joye, Beau Kittredge, Chris Farina, Eli Kerns, Kurt Gibson, Marcelo Sanchez, Tyler Bacon",1,1,6,1.0
45,2014-04-12 19:57,San Francisco FlameThrowers,26,O,4,2,Offense,Catch,Beau Kittredge,Tyler Bacon,,,Tyler Bacon,Ashlin Joye,Kurt Gibson,Eli Kerns,Chris Farina,Marcelo Sanchez,Beau Kittredge,,,,,,,,,,,,,,,,,,,,,,738,,,,,,,,,,,San Jose Spiders,2014,"Ashlin Joye, Beau Kittredge, Chris Farina, Eli Kerns, Kurt Gibson, Marcelo Sanchez, Tyler Bacon",1,1,6,1.0
46,2014-04-12 19:57,San Francisco FlameThrowers,26,O,4,2,Offense,Goal,Tyler Bacon,Marcelo Sanchez,,,Tyler Bacon,Ashlin Joye,Kurt Gibson,Eli Kerns,Chris Farina,Marcelo Sanchez,Beau Kittredge,,,,,,,,,,,,,,,,,,,,,,741,,,,,,,,,,,San Jose Spiders,2014,"Ashlin Joye, Beau Kittredge, Chris Farina, Eli Kerns, Kurt Gibson, Marcelo Sanchez, Tyler Bacon",1,1,6,1.0
47,2014-04-12 19:57,San Francisco FlameThrowers,98,D,5,2,Defense,Pull,,,Tim Gilligan,5.731,Matthew Natali,Sonny Zaccaro,Nathan White,Brett Petersen,Greg Cohen,Tim Gilligan,Michael Kiyoi,,,,,,,,,,,,,,,,,,,,,,808,,,,,,,,,,,San Jose Spiders,2014,"Brett Petersen, Greg Cohen, Matthew Natali, Michael Kiyoi, Nathan White, Sonny Zaccaro, Tim Gilligan",1,1,7,1.0
48,2014-04-12 19:57,San Francisco FlameThrowers,98,D,5,2,Defense,D,,,Sonny Zaccaro,,Matthew Natali,Sonny Zaccaro,Nathan White,Brett Petersen,Greg Cohen,Tim Gilligan,Michael Kiyoi,,,,,,,,,,,,,,,,,,,,,,833,,,,,,,,,,,San Jose Spiders,2014,"Brett Petersen, Greg Cohen, Matthew Natali, Michael Kiyoi, Nathan White, Sonny Zaccaro, Tim Gilligan",1,1,7,1.0
49,2014-04-12 19:57,San Francisco FlameThrowers,98,D,5,2,Offense,Catch,Sonny Zaccaro,Greg Cohen,,,Matthew Natali,Sonny Zaccaro,Nathan White,Brett Petersen,Greg Cohen,Tim Gilligan,Michael Kiyoi,,,,,,,,,,,,,,,,,,,,,,836,,,,,,,,,,,San Jose Spiders,2014,"Brett Petersen, Greg Cohen, Matthew Natali, Michael Kiyoi, Nathan White, Sonny Zaccaro, Tim Gilligan",1,1,7,2.0
50,2014-04-12 19:57,San Francisco FlameThrowers,98,D,5,2,Offense,Catch,Greg Cohen,Sonny Zaccaro,,,Matthew Natali,Sonny Zaccaro,Nathan White,Brett Petersen,Greg Cohen,Tim Gilligan,Michael Kiyoi,,,,,,,,,,,,,,,,,,,,,,840,,,,,,,,,,,San Jose Spiders,2014,"Brett Petersen, Greg Cohen, Matthew Natali, Michael Kiyoi, Nathan White, Sonny Zaccaro, Tim Gilligan",1,1,7,2.0
51,2014-04-12 19:57,San Francisco FlameThrowers,98,D,5,2,Offense,Catch,Sonny Zaccaro,Tim Gilligan,,,Matthew Natali,Sonny Zaccaro,Nathan White,Brett Petersen,Greg Cohen,Tim Gilligan,Michael Kiyoi,,,,,,,,,,,,,,,,,,,,,,844,,,,,,,,,,,San Jose Spiders,2014,"Brett Petersen, Greg Cohen, Matthew Natali, Michael Kiyoi, Nathan White, Sonny Zaccaro, Tim Gilligan",1,1,7,2.0
52,2014-04-12 19:57,San Francisco FlameThrowers,98,D,5,2,Offense,Throwaway,Tim Gilligan,Anonymous,,,Matthew Natali,Sonny Zaccaro,Nathan White,Brett Petersen,Greg Cohen,Tim Gilligan,Michael Kiyoi,,,,,,,,,,,,,,,,,,,,,,852,,,,,,,,,,,San Jose Spiders,2014,"Brett Petersen, Greg Cohen, Matthew Natali, Michael Kiyoi, Nathan White, Sonny Zaccaro, Tim Gilligan",1,1,7,2.0
53,2014-04-12 19:57,San Francisco FlameThrowers,98,D,5,2,Defense,D,,,Greg Cohen,,Matthew Natali,Sonny Zaccaro,Nathan White,Brett Petersen,Greg Cohen,Tim Gilligan,Michael Kiyoi,,,,,,,,,,,,,,,,,,,,,,865,,,,,,,,,,,San Jose Spiders,2014,"Brett Petersen, Greg Cohen, Matthew Natali, Michael Kiyoi, Nathan White, Sonny Zaccaro, Tim Gilligan",1,1,7,3.0
54,2014-04-12 19:57,San Francisco FlameThrowers,98,D,5,2,Offense,Catch,Nathan White,Michael Kiyoi,,,Matthew Natali,Sonny Zaccaro,Nathan White,Brett Petersen,Greg Cohen,Tim Gilligan,Michael Kiyoi,,,,,,,,,,,,,,,,,,,,,,873,,,,,,,,,,,San Jose Spiders,2014,"Brett Petersen, Greg Cohen, Matthew Natali, Michael Kiyoi, Nathan White, Sonny Zaccaro, Tim Gilligan",1,1,7,4.0
55,2014-04-12 19:57,San Francisco FlameThrowers,98,D,5,2,Offense,Catch,Michael Kiyoi,Brett Petersen,,,Matthew Natali,Sonny Zaccaro,Nathan White,Brett Petersen,Greg Cohen,Tim Gilligan,Michael Kiyoi,,,,,,,,,,,,,,,,,,,,,,876,,,,,,,,,,,San Jose Spiders,2014,"Brett Petersen, Greg Cohen, Matthew Natali, Michael Kiyoi, Nathan White, Sonny Zaccaro, Tim Gilligan",1,1,7,4.0
