,Actives,Team,Week,Year
27,Tyler Bacon**; Alex Drum; Collin  Gall; Joc Jimenez; Nate Kirchhofer**; Michael Kiyoi**; Ian Ladner; Danny Landesman; Ryan  Lepore; Wayne Lu; Sean McDougall; Sam Plasman; Nate Ransom; Zac Schakner; Jeff Silverman; Ryan  Smith; Mitchell Steiner; Zachary Theodore; Matt Theologidy; Aaron Weaver; Inactive: Xavier Charles,Los Angeles Aviators,3,2019
28,"Tarik Akyuz; Tom Annen; Nate Bosscher; Colin Camp; Thomas Coolidge; Peter  Graffy; Colin Grandon; Avery Johnson; Sterling Knoche; Chase Marty; Andrew Meshnick; Seth Meyer; Ben Nelson; Kevin Pettit-Scantling; Dylan Power; Logan Pruess; Pat Shriwise; Chris Wilen; Joshua Wilson; Dave Wiseman; Inactive: Kevin Brown, Victor Luo",Madison Radicals,3,2019
29,"Daniel Bates; Cameron Burden; Dylan DeClerck; Jesse Greenberg; Tate Halberg; Kristian Johnson; Michael Jordan; James Kittlesen; Josh Klane; Mathew Ladyman; Isaac Leonard; Brandon Matis; Brendan McCann; Mitchell McCarthy; Grayson Pangburn; Alan Scarth; Quinn Snider; Jordan Taylor; Bryan Vohnoutka; Ryan Welch; Inactive: Ethan Rasmussen, Jason Tschida",Minnesota Wind Chill,3,2019
30,Mike Arcata; David Baer; Matt Ballman; Mike Campanella; Dustin Damiano; Patrick Diviney; Brice Dunn; Matt Esser; Ethan Fortin; Trey Katzenbach; Austin Lillis; Himalaya Mehta; Sean Mott; Nick Patel; Ethan Peck; James Pollard ; Zac Sands; Marc Sands; Billy Sickles; Ryan Weaver,Philadelphia Phoenix,3,2019
31,Dylan Best; Adam Burgess; John Buss; Marquis Cofer; Thomas Edmonds; Mark Fedorenko; Chris Graber; Robert Halvorsen; Justin Kinkead; Jon Mast; Steve May; Pat McMullen; Dayne Meyer; Steve Mogielski; Anson Reppermund; Max Sheppard; Alex Thomas; Jimmy Towle; David Vatz; Owen Watt; Inactive: Noah Robinson,Pittsburgh Thunderbirds,3,2019
32,"Nathan Bridges; Travis Dunn; Sam Fontaine; Wesley Groth; Jake Gutkowski; Aidan Hall; Maxwell Hume; Joseph Huppert; Joshua Kohl; Mark (Dom) Leggio; Steven Milardovich; Tim Okita; Marcel Osborne; Scott Radlauer; Ryo Senda; Mark Slader; Reggie Sung; Michael Tran; William Turner; Bailey Wu; Inactive: Jonathan Helton, Sean Ham",San Diego Growlers,3,2019
33,"Chuck  Cao; Matt Crawford; Ethan Falat; Brandon Fein; Jacob Greenberg; Keenan Laurence; Ben Levinsky; Nick Murphy; Justin Norden; Alex Pan; Mark Philipson; Brian Roach; Marcelo Sanchez; Aaron  Shi; Jackson Stearns; Skylohr Taylor; Gabe Taylor; Munis Thahir; Kevin Tien; Robert Yeagle; Inactive: Antoine Davis, Lior Givol",San Jose Spiders,3,2019
34,"Jay Boychuk; Dennis Casio; William Coffin; Charlie Eide; Bryson Fox; Xtehn Frame; Peter Geertz-Larson; Brad Houser; Wally Kasprzycki; Steph Lim; Nick Mahan; Charlie Mercer; Marc Munoz; Henry Phan; June Rapisura; Zach Sabin; Ryan Segal; Kodi Smart; Keegan Taggart; Shane Worthington; Inactive: Mark Burton, Khalif El-Salaam",Seattle Cascades,3,2019
35,"Brandon Allen; Jack Barrow; Alex Bullock; Adam Carr; Jacob Clary; James Franklin; Larz Hanselman; Ryan Hiser; Jacob Lane; Tim Lootens; Josh McKisic; Billy O'Bryan**; Unmil Patel; Bobby Patterson**; Tanner Repasky; Andrew Roney; Bradley Seuntjens; Dustin Travaglini**; Hayden Wachob; Javier Yañez; Inactive: Nathan Vickroy, Ryan Chard",Tampa Bay Cannons,3,2019
36,"Zack Avello; Sam Batson; Sun Choi; Jason Crowe; Karl Ekwurtzel; Christian Gaeta; Matthew Knowles; Paul Lally; Taylor Minch; Christian Olsen; Javier Ortiz; Jaime Perez; Player Pierce; Devon Rogers; Matt Smith; Trenton Spinks; Austin Taylor; Alex Trautman; Josh Turner; Kelvin Williams; Inactive: Brett Hulsmeyer, Joel Wooten",Atlanta Hustle,4,2019
