,Date/Time,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance,Teamname,Tournament,Lineup,GameID,QuarterID,PointID,PossessionID
0,2018-04-07 18:40,DC Breeze,23,D,0,1,Defense,Pull,,,Esteban Ceballos,,Malik Auger-Semmar,Morgan Hibbert,Gabriel Monfette,Christophe Tremblay-Joncas,Antoine Genest,Esteban Ceballos,Andre Arsenault,,,,,,,,,,,,,,,,,,,,,,0,Endzone A,0.821,0.107,Field,0.953,0.054,yds,79.8,2.9,79.8,Montreal Royal,AUDL 2018,"Andre Arsenault, Antoine Genest, Christophe Tremblay-Joncas, Esteban Ceballos, Gabriel Monfette, Malik Auger-Semmar, Morgan Hibbert",1,1,1,1.0
1,2018-04-07 18:40,DC Breeze,23,D,0,1,Defense,OpponentCatch,,,,,Malik Auger-Semmar,Morgan Hibbert,Gabriel Monfette,Christophe Tremblay-Joncas,Antoine Genest,Esteban Ceballos,Andre Arsenault,,,,,,,,,,,,,,,,,,,,,,5,Field,0.958,0.057,Field,0.796,0.070,yds,13.0,0.7,-12.9,Montreal Royal,AUDL 2018,"Andre Arsenault, Antoine Genest, Christophe Tremblay-Joncas, Esteban Ceballos, Gabriel Monfette, Malik Auger-Semmar, Morgan Hibbert",1,1,1,1.0
2,2018-04-07 18:40,DC Breeze,23,D,0,1,Defense,OpponentCatch,,,,,Malik Auger-Semmar,Morgan Hibbert,Gabriel Monfette,Christophe Tremblay-Joncas,Antoine Genest,Esteban Ceballos,Andre Arsenault,,,,,,,,,,,,,,,,,,,,,,8,Field,0.796,0.070,Field,0.664,0.092,yds,10.6,1.1,-10.6,Montreal Royal,AUDL 2018,"Andre Arsenault, Antoine Genest, Christophe Tremblay-Joncas, Esteban Ceballos, Gabriel Monfette, Malik Auger-Semmar, Morgan Hibbert",1,1,1,1.0
3,2018-04-07 18:40,DC Breeze,23,D,0,1,Defense,OpponentCatch,,,,,Malik Auger-Semmar,Morgan Hibbert,Gabriel Monfette,Christophe Tremblay-Joncas,Antoine Genest,Esteban Ceballos,Andre Arsenault,,,,,,,,,,,,,,,,,,,,,,13,Field,0.664,0.092,Field,0.091,0.226,yds,46.4,7.2,-45.9,Montreal Royal,AUDL 2018,"Andre Arsenault, Antoine Genest, Christophe Tremblay-Joncas, Esteban Ceballos, Gabriel Monfette, Malik Auger-Semmar, Morgan Hibbert",1,1,1,1.0
4,2018-04-07 18:40,DC Breeze,23,D,0,1,Defense,OpponentCatch,,,,,Malik Auger-Semmar,Morgan Hibbert,Gabriel Monfette,Christophe Tremblay-Joncas,Antoine Genest,Esteban Ceballos,Andre Arsenault,,,,,,,,,,,,,,,,,,,,,,18,Field,0.091,0.226,Field,0.174,0.242,yds,6.8,0.8,6.7,Montreal Royal,AUDL 2018,"Andre Arsenault, Antoine Genest, Christophe Tremblay-Joncas, Esteban Ceballos, Gabriel Monfette, Malik Auger-Semmar, Morgan Hibbert",1,1,1,1.0
5,2018-04-07 18:40,DC Breeze,23,D,0,1,Defense,Goal,,,,,Malik Auger-Semmar,Morgan Hibbert,Gabriel Monfette,Christophe Tremblay-Joncas,Antoine Genest,Esteban Ceballos,Andre Arsenault,,,,,,,,,,,,,,,,,,,,,,21,Field,0.174,0.242,Endzone A,0.655,0.107,yds,22.0,7.2,-20.8,Montreal Royal,AUDL 2018,"Andre Arsenault, Antoine Genest, Christophe Tremblay-Joncas, Esteban Ceballos, Gabriel Monfette, Malik Auger-Semmar, Morgan Hibbert",1,1,1,1.0
6,2018-04-07 18:40,DC Breeze,79,O,1,1,Offense,OpponentPull,,,,,Mike Voelpel,Francis Vallee,Yoland Cabot,Steve Bonneau,Miguel Goderre,Cam Burden,Quentin Bonnaud,,,,,,,,,,,,,,,,,,,,,,84,Endzone A,0.700,0.223,Field,0.886,0.724,yds,81.4,26.7,-76.9,Montreal Royal,AUDL 2018,"Cam Burden, Francis Vallee, Miguel Goderre, Mike Voelpel, Quentin Bonnaud, Steve Bonneau, Yoland Cabot",1,1,2,1.0
7,2018-04-07 18:40,DC Breeze,79,O,1,1,Offense,Catch,Miguel Goderre,Steve Bonneau,,,Mike Voelpel,Francis Vallee,Yoland Cabot,Steve Bonneau,Miguel Goderre,Cam Burden,Quentin Bonnaud,,,,,,,,,,,,,,,,,,,,,,93,Field,0.878,0.729,Field,0.754,0.368,yds,21.6,19.2,9.9,Montreal Royal,AUDL 2018,"Cam Burden, Francis Vallee, Miguel Goderre, Mike Voelpel, Quentin Bonnaud, Steve Bonneau, Yoland Cabot",1,1,2,1.0
8,2018-04-07 18:40,DC Breeze,79,O,1,1,Offense,Catch,Steve Bonneau,Cam Burden,,,Mike Voelpel,Francis Vallee,Yoland Cabot,Steve Bonneau,Miguel Goderre,Cam Burden,Quentin Bonnaud,,,,,,,,,,,,,,,,,,,,,,97,Field,0.754,0.368,Field,0.755,0.680,yds,16.6,16.6,-0.1,Montreal Royal,AUDL 2018,"Cam Burden, Francis Vallee, Miguel Goderre, Mike Voelpel, Quentin Bonnaud, Steve Bonneau, Yoland Cabot",1,1,2,1.0
9,2018-04-07 18:40,DC Breeze,79,O,1,1,Offense,Catch,Cam Burden,Steve Bonneau,,,Mike Voelpel,Francis Vallee,Yoland Cabot,Steve Bonneau,Miguel Goderre,Cam Burden,Quentin Bonnaud,,,,,,,,,,,,,,,,,,,,,,101,Field,0.755,0.680,Field,0.782,0.558,yds,6.8,6.5,-2.1,Montreal Royal,AUDL 2018,"Cam Burden, Francis Vallee, Miguel Goderre, Mike Voelpel, Quentin Bonnaud, Steve Bonneau, Yoland Cabot",1,1,2,1.0
10,2018-04-07 18:40,DC Breeze,79,O,1,1,Offense,Catch,Steve Bonneau,Cam Burden,,,Mike Voelpel,Francis Vallee,Yoland Cabot,Steve Bonneau,Miguel Goderre,Cam Burden,Quentin Bonnaud,,,,,,,,,,,,,,,,,,,,,,105,Field,0.782,0.558,Field,0.827,0.494,yds,5.0,3.4,-3.6,Montreal Royal,AUDL 2018,"Cam Burden, Francis Vallee, Miguel Goderre, Mike Voelpel, Quentin Bonnaud, Steve Bonneau, Yoland Cabot",1,1,2,1.0
11,2018-04-07 18:40,DC Breeze,79,O,1,1,Offense,Catch,Cam Burden,Steve Bonneau,,,Mike Voelpel,Francis Vallee,Yoland Cabot,Steve Bonneau,Miguel Goderre,Cam Burden,Quentin Bonnaud,,,,,,,,,,,,,,,,,,,,,,109,Field,0.827,0.494,Field,0.782,0.380,yds,7.1,6.1,3.6,Montreal Royal,AUDL 2018,"Cam Burden, Francis Vallee, Miguel Goderre, Mike Voelpel, Quentin Bonnaud, Steve Bonneau, Yoland Cabot",1,1,2,1.0
12,2018-04-07 18:40,DC Breeze,79,O,1,1,Offense,Catch,Steve Bonneau,Quentin Bonnaud,,,Mike Voelpel,Francis Vallee,Yoland Cabot,Steve Bonneau,Miguel Goderre,Cam Burden,Quentin Bonnaud,,,,,,,,,,,,,,,,,,,,,,113,Field,0.782,0.380,Field,0.626,0.161,yds,17.1,11.7,12.5,Montreal Royal,AUDL 2018,"Cam Burden, Francis Vallee, Miguel Goderre, Mike Voelpel, Quentin Bonnaud, Steve Bonneau, Yoland Cabot",1,1,2,1.0
13,2018-04-07 18:40,DC Breeze,79,O,1,1,Offense,Catch,Quentin Bonnaud,Miguel Goderre,,,Mike Voelpel,Francis Vallee,Yoland Cabot,Steve Bonneau,Miguel Goderre,Cam Burden,Quentin Bonnaud,,,,,,,,,,,,,,,,,,,,,,117,Field,0.626,0.161,Field,0.625,0.280,yds,6.3,6.3,0.1,Montreal Royal,AUDL 2018,"Cam Burden, Francis Vallee, Miguel Goderre, Mike Voelpel, Quentin Bonnaud, Steve Bonneau, Yoland Cabot",1,1,2,1.0
14,2018-04-07 18:40,DC Breeze,79,O,1,1,Offense,Catch,Miguel Goderre,Francis Vallee,,,Mike Voelpel,Francis Vallee,Yoland Cabot,Steve Bonneau,Miguel Goderre,Cam Burden,Quentin Bonnaud,,,,,,,,,,,,,,,,,,,,,,121,Field,0.625,0.280,Field,0.433,0.245,yds,15.5,1.8,15.4,Montreal Royal,AUDL 2018,"Cam Burden, Francis Vallee, Miguel Goderre, Mike Voelpel, Quentin Bonnaud, Steve Bonneau, Yoland Cabot",1,1,2,1.0
15,2018-04-07 18:40,DC Breeze,79,O,1,1,Offense,Catch,Francis Vallee,Cam Burden,,,Mike Voelpel,Francis Vallee,Yoland Cabot,Steve Bonneau,Miguel Goderre,Cam Burden,Quentin Bonnaud,,,,,,,,,,,,,,,,,,,,,,125,Field,0.433,0.245,Field,0.400,0.511,yds,14.4,14.2,2.7,Montreal Royal,AUDL 2018,"Cam Burden, Francis Vallee, Miguel Goderre, Mike Voelpel, Quentin Bonnaud, Steve Bonneau, Yoland Cabot",1,1,2,1.0
16,2018-04-07 18:40,DC Breeze,79,O,1,1,Offense,Catch,Cam Burden,Steve Bonneau,,,Mike Voelpel,Francis Vallee,Yoland Cabot,Steve Bonneau,Miguel Goderre,Cam Burden,Quentin Bonnaud,,,,,,,,,,,,,,,,,,,,,,129,Field,0.400,0.511,Field,0.492,0.371,yds,10.5,7.4,-7.4,Montreal Royal,AUDL 2018,"Cam Burden, Francis Vallee, Miguel Goderre, Mike Voelpel, Quentin Bonnaud, Steve Bonneau, Yoland Cabot",1,1,2,1.0
17,2018-04-07 18:40,DC Breeze,79,O,1,1,Offense,Catch,Steve Bonneau,Yoland Cabot,,,Mike Voelpel,Francis Vallee,Yoland Cabot,Steve Bonneau,Miguel Goderre,Cam Burden,Quentin Bonnaud,,,,,,,,,,,,,,,,,,,,,,133,Field,0.492,0.371,Field,0.386,0.118,yds,16.0,13.5,8.5,Montreal Royal,AUDL 2018,"Cam Burden, Francis Vallee, Miguel Goderre, Mike Voelpel, Quentin Bonnaud, Steve Bonneau, Yoland Cabot",1,1,2,1.0
18,2018-04-07 18:40,DC Breeze,79,O,1,1,Offense,Throwaway,Yoland Cabot,,,,Mike Voelpel,Francis Vallee,Yoland Cabot,Steve Bonneau,Miguel Goderre,Cam Burden,Quentin Bonnaud,,,,,,,,,,,,,,,,,,,,,,137,Field,0.386,0.118,Endzone A,0.514,0.276,yds,41.5,8.4,40.6,Montreal Royal,AUDL 2018,"Cam Burden, Francis Vallee, Miguel Goderre, Mike Voelpel, Quentin Bonnaud, Steve Bonneau, Yoland Cabot",1,1,2,1.0
19,2018-04-07 18:40,DC Breeze,79,O,1,1,Defense,OpponentCatch,,,,,Mike Voelpel,Francis Vallee,Yoland Cabot,Steve Bonneau,Miguel Goderre,Cam Burden,Quentin Bonnaud,,,,,,,,,,,,,,,,,,,,,,141,Endzone A,0.586,0.275,Field,0.059,0.520,yds,18.5,13.1,-13.0,Montreal Royal,AUDL 2018,"Cam Burden, Francis Vallee, Miguel Goderre, Mike Voelpel, Quentin Bonnaud, Steve Bonneau, Yoland Cabot",1,1,2,2.0
20,2018-04-07 18:40,DC Breeze,79,O,1,1,Defense,Throwaway,,,,,Mike Voelpel,Francis Vallee,Yoland Cabot,Steve Bonneau,Miguel Goderre,Cam Burden,Quentin Bonnaud,,,,,,,,,,,,,,,,,,,,,,145,Field,0.059,0.520,Field,0.182,0.827,yds,19.1,16.4,-9.9,Montreal Royal,AUDL 2018,"Cam Burden, Francis Vallee, Miguel Goderre, Mike Voelpel, Quentin Bonnaud, Steve Bonneau, Yoland Cabot",1,1,2,2.0
21,2018-04-07 18:40,DC Breeze,79,O,1,1,Offense,Catch,Steve Bonneau,Miguel Goderre,,,Mike Voelpel,Francis Vallee,Yoland Cabot,Steve Bonneau,Miguel Goderre,Cam Burden,Quentin Bonnaud,,,,,,,,,,,,,,,,,,,,,,149,Field,0.202,0.833,Field,0.272,0.485,yds,19.4,18.6,-5.6,Montreal Royal,AUDL 2018,"Cam Burden, Francis Vallee, Miguel Goderre, Mike Voelpel, Quentin Bonnaud, Steve Bonneau, Yoland Cabot",1,1,2,3.0
22,2018-04-07 18:40,DC Breeze,79,O,1,1,Offense,Catch,Miguel Goderre,Francis Vallee,,,Mike Voelpel,Francis Vallee,Yoland Cabot,Steve Bonneau,Miguel Goderre,Cam Burden,Quentin Bonnaud,,,,,,,,,,,,,,,,,,,,,,153,Field,0.272,0.485,Field,0.220,0.635,yds,9.0,8.0,4.2,Montreal Royal,AUDL 2018,"Cam Burden, Francis Vallee, Miguel Goderre, Mike Voelpel, Quentin Bonnaud, Steve Bonneau, Yoland Cabot",1,1,2,3.0
23,2018-04-07 18:40,DC Breeze,79,O,1,1,Offense,Catch,Francis Vallee,Miguel Goderre,,,Mike Voelpel,Francis Vallee,Yoland Cabot,Steve Bonneau,Miguel Goderre,Cam Burden,Quentin Bonnaud,,,,,,,,,,,,,,,,,,,,,,157,Field,0.220,0.635,Field,0.165,0.632,yds,4.4,0.1,4.4,Montreal Royal,AUDL 2018,"Cam Burden, Francis Vallee, Miguel Goderre, Mike Voelpel, Quentin Bonnaud, Steve Bonneau, Yoland Cabot",1,1,2,3.0
24,2018-04-07 18:40,DC Breeze,79,O,1,1,Offense,Goal,Miguel Goderre,Cam Burden,,,Mike Voelpel,Francis Vallee,Yoland Cabot,Steve Bonneau,Miguel Goderre,Cam Burden,Quentin Bonnaud,,,,,,,,,,,,,,,,,,,,,,161,Field,0.165,0.632,Endzone A,0.514,0.802,yds,24.6,9.1,22.9,Montreal Royal,AUDL 2018,"Cam Burden, Francis Vallee, Miguel Goderre, Mike Voelpel, Quentin Bonnaud, Steve Bonneau, Yoland Cabot",1,1,2,3.0
25,2018-04-07 18:40,DC Breeze,115,D,2,1,Defense,Pull,,,Esteban Ceballos,,Malik Auger-Semmar,Morgan Hibbert,Gabriel Monfette,Christophe Tremblay-Joncas,Antoine Genest,Esteban Ceballos,Andre Arsenault,,,,,,,,,,,,,,,,,,,,,,211,Endzone A,0.797,0.150,Endzone B,0.045,0.089,yds,85.0,3.2,85.0,Montreal Royal,AUDL 2018,"Andre Arsenault, Antoine Genest, Christophe Tremblay-Joncas, Esteban Ceballos, Gabriel Monfette, Malik Auger-Semmar, Morgan Hibbert",1,1,3,1.0
26,2018-04-07 18:40,DC Breeze,115,D,2,1,Defense,OpponentCatch,,,,,Malik Auger-Semmar,Morgan Hibbert,Gabriel Monfette,Christophe Tremblay-Joncas,Antoine Genest,Esteban Ceballos,Andre Arsenault,,,,,,,,,,,,,,,,,,,,,,214,Endzone B,0.128,0.120,Field,0.799,0.090,yds,18.7,1.6,-18.6,Montreal Royal,AUDL 2018,"Andre Arsenault, Antoine Genest, Christophe Tremblay-Joncas, Esteban Ceballos, Gabriel Monfette, Malik Auger-Semmar, Morgan Hibbert",1,1,3,1.0
27,2018-04-07 18:40,DC Breeze,115,D,2,1,Defense,OpponentCatch,,,,,Malik Auger-Semmar,Morgan Hibbert,Gabriel Monfette,Christophe Tremblay-Joncas,Antoine Genest,Esteban Ceballos,Andre Arsenault,,,,,,,,,,,,,,,,,,,,,,220,Field,0.799,0.090,Field,0.974,0.445,yds,23.5,18.9,14.0,Montreal Royal,AUDL 2018,"Andre Arsenault, Antoine Genest, Christophe Tremblay-Joncas, Esteban Ceballos, Gabriel Monfette, Malik Auger-Semmar, Morgan Hibbert",1,1,3,1.0
28,2018-04-07 18:40,DC Breeze,115,D,2,1,Defense,OpponentCatch,,,,,Malik Auger-Semmar,Morgan Hibbert,Gabriel Monfette,Christophe Tremblay-Joncas,Antoine Genest,Esteban Ceballos,Andre Arsenault,,,,,,,,,,,,,,,,,,,,,,223,Field,0.974,0.445,Field,0.851,0.452,yds,9.9,0.4,-9.9,Montreal Royal,AUDL 2018,"Andre Arsenault, Antoine Genest, Christophe Tremblay-Joncas, Esteban Ceballos, Gabriel Monfette, Malik Auger-Semmar, Morgan Hibbert",1,1,3,1.0
29,2018-04-07 18:40,DC Breeze,115,D,2,1,Defense,OpponentCatch,,,,,Malik Auger-Semmar,Morgan Hibbert,Gabriel Monfette,Christophe Tremblay-Joncas,Antoine Genest,Esteban Ceballos,Andre Arsenault,,,,,,,,,,,,,,,,,,,,,,226,Field,0.851,0.452,Field,0.849,0.639,yds,10.0,10.0,-0.1,Montreal Royal,AUDL 2018,"Andre Arsenault, Antoine Genest, Christophe Tremblay-Joncas, Esteban Ceballos, Gabriel Monfette, Malik Auger-Semmar, Morgan Hibbert",1,1,3,1.0
30,2018-04-07 18:40,DC Breeze,115,D,2,1,Defense,OpponentCatch,,,,,Malik Auger-Semmar,Morgan Hibbert,Gabriel Monfette,Christophe Tremblay-Joncas,Antoine Genest,Esteban Ceballos,Andre Arsenault,,,,,,,,,,,,,,,,,,,,,,230,Field,0.849,0.639,Field,0.726,0.404,yds,16.0,12.6,-9.9,Montreal Royal,AUDL 2018,"Andre Arsenault, Antoine Genest, Christophe Tremblay-Joncas, Esteban Ceballos, Gabriel Monfette, Malik Auger-Semmar, Morgan Hibbert",1,1,3,1.0
31,2018-04-07 18:40,DC Breeze,115,D,2,1,Defense,OpponentCatch,,,,,Malik Auger-Semmar,Morgan Hibbert,Gabriel Monfette,Christophe Tremblay-Joncas,Antoine Genest,Esteban Ceballos,Andre Arsenault,,,,,,,,,,,,,,,,,,,,,,234,Field,0.726,0.404,Field,0.663,0.571,yds,10.3,9.0,-5.0,Montreal Royal,AUDL 2018,"Andre Arsenault, Antoine Genest, Christophe Tremblay-Joncas, Esteban Ceballos, Gabriel Monfette, Malik Auger-Semmar, Morgan Hibbert",1,1,3,1.0
32,2018-04-07 18:40,DC Breeze,115,D,2,1,Defense,OpponentCatch,,,,,Malik Auger-Semmar,Morgan Hibbert,Gabriel Monfette,Christophe Tremblay-Joncas,Antoine Genest,Esteban Ceballos,Andre Arsenault,,,,,,,,,,,,,,,,,,,,,,238,Field,0.663,0.571,Field,0.453,0.461,yds,17.9,5.9,-16.9,Montreal Royal,AUDL 2018,"Andre Arsenault, Antoine Genest, Christophe Tremblay-Joncas, Esteban Ceballos, Gabriel Monfette, Malik Auger-Semmar, Morgan Hibbert",1,1,3,1.0
33,2018-04-07 18:40,DC Breeze,115,D,2,1,Defense,OpponentCatch,,,,,Malik Auger-Semmar,Morgan Hibbert,Gabriel Monfette,Christophe Tremblay-Joncas,Antoine Genest,Esteban Ceballos,Andre Arsenault,,,,,,,,,,,,,,,,,,,,,,242,Field,0.453,0.461,Field,0.542,0.605,yds,10.5,7.7,7.2,Montreal Royal,AUDL 2018,"Andre Arsenault, Antoine Genest, Christophe Tremblay-Joncas, Esteban Ceballos, Gabriel Monfette, Malik Auger-Semmar, Morgan Hibbert",1,1,3,1.0
34,2018-04-07 18:40,DC Breeze,115,D,2,1,Defense,OpponentCatch,,,,,Malik Auger-Semmar,Morgan Hibbert,Gabriel Monfette,Christophe Tremblay-Joncas,Antoine Genest,Esteban Ceballos,Andre Arsenault,,,,,,,,,,,,,,,,,,,,,,246,Field,0.542,0.605,Field,0.280,0.823,yds,24.0,11.6,-20.9,Montreal Royal,AUDL 2018,"Andre Arsenault, Antoine Genest, Christophe Tremblay-Joncas, Esteban Ceballos, Gabriel Monfette, Malik Auger-Semmar, Morgan Hibbert",1,1,3,1.0
35,2018-04-07 18:40,DC Breeze,115,D,2,1,Defense,Throwaway,,,,,Malik Auger-Semmar,Morgan Hibbert,Gabriel Monfette,Christophe Tremblay-Joncas,Antoine Genest,Esteban Ceballos,Andre Arsenault,,,,,,,,,,,,,,,,,,,,,,250,Field,0.280,0.823,Field,0.295,0.817,yds,1.2,0.3,1.1,Montreal Royal,AUDL 2018,"Andre Arsenault, Antoine Genest, Christophe Tremblay-Joncas, Esteban Ceballos, Gabriel Monfette, Malik Auger-Semmar, Morgan Hibbert",1,1,3,1.0
36,2018-04-07 18:40,DC Breeze,115,D,2,1,Offense,Drop,Esteban Ceballos,Christophe Tremblay-Joncas,,,Malik Auger-Semmar,Morgan Hibbert,Gabriel Monfette,Christophe Tremblay-Joncas,Antoine Genest,Esteban Ceballos,Andre Arsenault,,,,,,,,,,,,,,,,,,,,,,260,Field,0.307,0.831,Endzone B,0.372,0.805,yds,62.9,1.4,62.9,Montreal Royal,AUDL 2018,"Andre Arsenault, Antoine Genest, Christophe Tremblay-Joncas, Esteban Ceballos, Gabriel Monfette, Malik Auger-Semmar, Morgan Hibbert",1,1,3,2.0
37,2018-04-07 18:40,DC Breeze,115,D,2,1,Defense,OpponentCatch,,,,,Malik Auger-Semmar,Morgan Hibbert,Gabriel Monfette,Christophe Tremblay-Joncas,Antoine Genest,Esteban Ceballos,Andre Arsenault,,,,,,,,,,,,,,,,,,,,,,264,Endzone B,0.338,0.767,Field,0.783,0.860,yds,24.6,5.0,-24.1,Montreal Royal,AUDL 2018,"Andre Arsenault, Antoine Genest, Christophe Tremblay-Joncas, Esteban Ceballos, Gabriel Monfette, Malik Auger-Semmar, Morgan Hibbert",1,1,3,3.0
38,2018-04-07 18:40,DC Breeze,115,D,2,1,Defense,OpponentCatch,,,,,Malik Auger-Semmar,Morgan Hibbert,Gabriel Monfette,Christophe Tremblay-Joncas,Antoine Genest,Esteban Ceballos,Andre Arsenault,,,,,,,,,,,,,,,,,,,,,,270,Field,0.783,0.860,Field,0.562,0.823,yds,17.9,2.0,-17.7,Montreal Royal,AUDL 2018,"Andre Arsenault, Antoine Genest, Christophe Tremblay-Joncas, Esteban Ceballos, Gabriel Monfette, Malik Auger-Semmar, Morgan Hibbert",1,1,3,3.0
39,2018-04-07 18:40,DC Breeze,115,D,2,1,Defense,Throwaway,,,,,Malik Auger-Semmar,Morgan Hibbert,Gabriel Monfette,Christophe Tremblay-Joncas,Antoine Genest,Esteban Ceballos,Andre Arsenault,,,,,,,,,,,,,,,,,,,,,,274,Field,0.562,0.823,Endzone A,0.414,0.989,yds,57.3,8.9,-56.6,Montreal Royal,AUDL 2018,"Andre Arsenault, Antoine Genest, Christophe Tremblay-Joncas, Esteban Ceballos, Gabriel Monfette, Malik Auger-Semmar, Morgan Hibbert",1,1,3,3.0
40,2018-04-07 18:40,DC Breeze,115,D,2,1,Offense,Catch,Antoine Genest,Malik Auger-Semmar,,,Malik Auger-Semmar,Morgan Hibbert,Gabriel Monfette,Christophe Tremblay-Joncas,Antoine Genest,Esteban Ceballos,Andre Arsenault,,,,,,,,,,,,,,,,,,,,,,293,Endzone A,0.938,0.971,Field,0.484,0.668,yds,43.1,16.2,40.0,Montreal Royal,AUDL 2018,"Andre Arsenault, Antoine Genest, Christophe Tremblay-Joncas, Esteban Ceballos, Gabriel Monfette, Malik Auger-Semmar, Morgan Hibbert",1,1,3,4.0
41,2018-04-07 18:40,DC Breeze,115,D,2,1,Offense,Catch,Malik Auger-Semmar,Christophe Tremblay-Joncas,,,Malik Auger-Semmar,Morgan Hibbert,Gabriel Monfette,Christophe Tremblay-Joncas,Antoine Genest,Esteban Ceballos,Andre Arsenault,,,,,,,,,,,,,,,,,,,,,,296,Field,0.484,0.668,Field,0.438,0.450,yds,12.2,11.6,-3.7,Montreal Royal,AUDL 2018,"Andre Arsenault, Antoine Genest, Christophe Tremblay-Joncas, Esteban Ceballos, Gabriel Monfette, Malik Auger-Semmar, Morgan Hibbert",1,1,3,4.0
42,2018-04-07 18:40,DC Breeze,115,D,2,1,Offense,Catch,Christophe Tremblay-Joncas,Gabriel Monfette,,,Malik Auger-Semmar,Morgan Hibbert,Gabriel Monfette,Christophe Tremblay-Joncas,Antoine Genest,Esteban Ceballos,Andre Arsenault,,,,,,,,,,,,,,,,,,,,,,301,Field,0.438,0.450,Field,0.372,0.519,yds,6.5,3.7,-5.3,Montreal Royal,AUDL 2018,"Andre Arsenault, Antoine Genest, Christophe Tremblay-Joncas, Esteban Ceballos, Gabriel Monfette, Malik Auger-Semmar, Morgan Hibbert",1,1,3,4.0
43,2018-04-07 18:40,DC Breeze,115,D,2,1,Offense,Catch,Gabriel Monfette,Antoine Genest,,,Malik Auger-Semmar,Morgan Hibbert,Gabriel Monfette,Christophe Tremblay-Joncas,Antoine Genest,Esteban Ceballos,Andre Arsenault,,,,,,,,,,,,,,,,,,,,,,305,Field,0.372,0.519,Field,0.484,0.725,yds,14.2,11.0,9.0,Montreal Royal,AUDL 2018,"Andre Arsenault, Antoine Genest, Christophe Tremblay-Joncas, Esteban Ceballos, Gabriel Monfette, Malik Auger-Semmar, Morgan Hibbert",1,1,3,4.0
44,2018-04-07 18:40,DC Breeze,115,D,2,1,Offense,Catch,Antoine Genest,Gabriel Monfette,,,Malik Auger-Semmar,Morgan Hibbert,Gabriel Monfette,Christophe Tremblay-Joncas,Antoine Genest,Esteban Ceballos,Andre Arsenault,,,,,,,,,,,,,,,,,,,,,,309,Field,0.484,0.725,Field,0.656,0.670,yds,14.1,2.9,13.8,Montreal Royal,AUDL 2018,"Andre Arsenault, Antoine Genest, Christophe Tremblay-Joncas, Esteban Ceballos, Gabriel Monfette, Malik Auger-Semmar, Morgan Hibbert",1,1,3,4.0
45,2018-04-07 18:40,DC Breeze,115,D,2,1,Offense,Catch,Gabriel Monfette,Malik Auger-Semmar,,,Malik Auger-Semmar,Morgan Hibbert,Gabriel Monfette,Christophe Tremblay-Joncas,Antoine Genest,Esteban Ceballos,Andre Arsenault,,,,,,,,,,,,,,,,,,,,,,315,Field,0.656,0.670,Field,0.489,0.433,yds,18.4,12.6,-13.4,Montreal Royal,AUDL 2018,"Andre Arsenault, Antoine Genest, Christophe Tremblay-Joncas, Esteban Ceballos, Gabriel Monfette, Malik Auger-Semmar, Morgan Hibbert",1,1,3,4.0
46,2018-04-07 18:40,DC Breeze,115,D,2,1,Offense,Catch,Malik Auger-Semmar,Esteban Ceballos,,,Malik Auger-Semmar,Morgan Hibbert,Gabriel Monfette,Christophe Tremblay-Joncas,Antoine Genest,Esteban Ceballos,Andre Arsenault,,,,,,,,,,,,,,,,,,,,,,319,Field,0.489,0.433,Field,0.539,0.212,yds,12.5,11.8,4.0,Montreal Royal,AUDL 2018,"Andre Arsenault, Antoine Genest, Christophe Tremblay-Joncas, Esteban Ceballos, Gabriel Monfette, Malik Auger-Semmar, Morgan Hibbert",1,1,3,4.0
47,2018-04-07 18:40,DC Breeze,115,D,2,1,Offense,Goal,Esteban Ceballos,Antoine Genest,,,Malik Auger-Semmar,Morgan Hibbert,Gabriel Monfette,Christophe Tremblay-Joncas,Antoine Genest,Esteban Ceballos,Andre Arsenault,,,,,,,,,,,,,,,,,,,,,,324,Field,0.539,0.212,Endzone B,0.372,0.108,yds,44.7,5.5,44.4,Montreal Royal,AUDL 2018,"Andre Arsenault, Antoine Genest, Christophe Tremblay-Joncas, Esteban Ceballos, Gabriel Monfette, Malik Auger-Semmar, Morgan Hibbert",1,1,3,4.0
48,2018-04-07 18:40,DC Breeze,73,D,3,1,Defense,PullOb,,,Esteban Ceballos,,Simon Charette,Vincent Lemieux,Philippe Bisson,Vincent Gamache,Antoine Genest,Kevin Groulx,Esteban Ceballos,,,,,,,,,,,,,,,,,,,,,,388,Field,0.999,0.160,Field,0.079,0.998,yds,86.1,44.7,73.6,Montreal Royal,AUDL 2018,"Antoine Genest, Esteban Ceballos, Kevin Groulx, Philippe Bisson, Simon Charette, Vincent Gamache, Vincent Lemieux",1,1,4,1.0
